chapitres,compétences
Général,lire et comprendre un énoncé
,utiliser ses compétences dans un problème
,Orthographe
,résoudre le problème
,rédiger
Nombres premiers,Critères de divisibilité
,definition d'un nombre premier
,Vérifier si un nombre est premier
,Décomposer en produit de facteurs premiers
,Trouver le plus grand commun diviseur
,Réduire une fraction
Algorithmes,Comprendre un programme simple
,Ecrire un programme simple
,Utiliser boucle de répétition simple
,Utiliser boucle de répétition conditionnelle
,Utiliser variables
,Utiliser blocs d'instructions
Calculer et interpréter des caractéristiques,Calculer une moyenne
,Déterminer une médiane
,Calculer une étendue
,Interpréter des résultats
Utiliser la trigonométrie,Connaitre les formules
,Calculer un côté
,calculer un angle
Mémo transformations,Démontrer avec les propriétés des parallélogrammes
,Construire un parallélogramme
,Utiliser propriétés de la symétrie pour démontrer
,Construire une image par symétrie
,Reconnaitre une translation
,Reconnaitre une rotation
,Construire une image par translation
,Construire une image par rotation
Utiliser le calcul littéral pour résoudre ou démontrer,Développer par distributivité
,Factoriser par facteur commun
,Connaitre les identités remarquables (IR)
,Developper avec IR
,Factoriser avec IR
,Transcrire un problème en équations
,Résoudre une équation du premier degré
,Transcrire un problème en inéquations
,Résoudre une inéquation du premier degré
,Savoir désigner des nombres
Notion de fonction,Rechercher une image avec un tableau
,Rechercher une image avec un graphique
,Rechercher une image par un calcul
,Rechercher un antécédent avec un tableau
,Rechercher un antécédent avec un graphique
,Rechercher un antécédent par un calcul
,Faire une représentation graphique
Utiliser le théorème de Thalès,Homothétie : donner centre et rapport k
,Construire une image par homothétie
,Ecrire le théorème de Thalès
,Utiliser le théorème de Thalès
,Utiliser réciproque et contraposée
Mémo calculs,Connaitre l'ordre des opérations
,Nombres relatifs : addition et soustraction
,Nombres relatifs : multiplication et division
,Fractions : addition et soustraction
,Fractions : multiplication
,Fraction : division
,Calculer une expression numérique
Puissances,Connaitre les formules de calcul
,Savoir utiliser la notation scientifique
,Connaitre l'ordre des opérations
,Effectuer des calculs avec des puissances
Connaitre et utiliser les triangles semblables,Connaitre propriété des angles
,Connaitre propriété des longueurs
,Construire triangles semblables
,Démontrer que deux triangles sont semblables
,Utiliser propriétés de triangles semblables
Etudier l'effet d'un agrandissement ou d'une réduction,Construire un agrandissement ou une réduction
,Prouver qu'on a un agrandissement ou une réduction
,Calculer le coefficient k
,Calculer nouvelle longueur
,Calculer nouvelle aire
,Calculer nouveau volume
Proportionnalité et linéaire - affines,Reconnaitre une fonction linéaire
,Exprimer une proportionnalité
,Tracer une fonction linéaire
,Reconnaitre une fonction affine
,Tracer une fonction affine
,Determiner le coefficient d'une droite
,Trouver l'equation d'une droite
,Calculer une image
,Déterminer un antecedent
Modéliser une situation spatiale,Connaitre les natures de section
,Déterminer les mesures d'une section
,Trouver le coefficient de réduction
,Calculer le volume d'un solide réduit
,Dessiner une section
Calculer des probabilités,Maitriser les formules du tableur
,Connaitre le vocabulaire
,Dénombrer des issues
,Calculs de probabilité
,Dessiner un arbre des probabilités
Faire le point sur la proportionnalité,Lier proportion et fonction linéaire
,Coefficient d'agrandissement reduction
,Calculer un pourcentage
,Utiliser un pourcentage
,Modéliser un pourcentage en fonction linéaire